X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),BS - ASX Electricity Base Load Quarterly Futures SA (A$ per megawatt hour),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Jun 2022,-,-,-,-,256.37,0.37,119,-,-,2022-07-01
Sep 2022,-,-,-,-,277.00,-,88,-,-,2022-07-01
Dec 2022,161.96,161.96,161.96,161.96,161.96,6.96,89,-,1,2022-07-01
Mar 2023,-,-,-,-,175.00,-,102,-,-,2022-07-01
Jun 2023,-,-,-,-,170.00,-1.00,75,-,-,2022-07-01
Sep 2023,-,-,-,-,164.92,-,47,-,-,2022-07-01
Dec 2023,-,-,-,-,100.00,-,40,-,-,2022-07-01
Mar 2024,-,-,-,-,119.67,-1.33,57,-1,-,2022-07-01
Jun 2024,140.00,140.00,140.00,140.00,138.47,-13.25,22,-,1,2022-07-01
Sep 2024,-,-,-,-,131.85,-1.46,20,-,-,2022-07-01
Dec 2024,-,-,-,-,98.16,-4.84,19,-,-,2022-07-01
Mar 2025,-,-,-,-,116.82,-,4,-,-,2022-07-01
Jun 2025,-,-,-,-,78.00,-,-,-,-,2022-07-01
Sep 2025,-,-,-,-,76.00,-,-,-,-,2022-07-01
Dec 2025,-,-,-,-,66.28,-,-,-,-,2022-07-01
Mar 2026,-,-,-,-,75.00,-,-,-,-,2022-07-01
Jun 2026,-,-,-,-,48.51,-,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
